# RTL_ID 22011200
#
# Events:
#    N - no event
#    E - exception
#    I - interrupt
#    W - wakeup
# =====================================================================================
# : Core Reset
# =====================================================================================
# Test: ma_fetch.hex
#           Time   Ev  Curr_PC    Instr      Next_PC    Reg        Value     
# =====================================================================================
               3   N   00000000   00000000   00000200   ---        --------
               6   N   00000200   0000e101   00000204   x10_a0     00000000
               7   N   00000204   00004e01   00000206   ---        --------
               8   N   00000206   00000297   00000208   x28_t3     00000000
               9   N   00000208   1f828293   0000020c   x05_t0     00000208
              10   N   0000020c   30529073   00000210   x05_t0     00000400
              11   N   00000210   00004505   00000214   ---        --------
              12   N   00000214   0000057e   00000216   x10_a0     00000001
              13   N   00000216   00054863   00000218   x10_a0     80000000
              14   N   00000218   0ff0000f   00000228   ---        --------
              17   N   00000228   00028f63   0000022c   x05_t0     00000000
              18   N   0000022c   10529073   0000024a   ---        --------
              22   N   0000024a   00006509   0000024e   ---        --------
              23   N   0000024e   00006509   0000024e   ---        --------
              24   N   0000024e   80050513   00000250   x10_a0     00002000
              25   N   00000250   30052073   00000254   x10_a0     00001800
              26   N   00000254   00000297   00000258   ---        --------
              27   N   00000258   00000297   00000258   ---        --------
              28   N   00000258   27628293   0000025c   x05_t0     00000258
              29   N   0000025c   34129073   00000260   x05_t0     000004ce
              30   N   00000260   f1402573   00000264   ---        --------
              31   N   00000264   30200073   00000268   x10_a0     00000000
              33   N   00000268   00000000   000004ce   ---        --------
              36   N   000004ce   00200e13   000004d0   ---        --------
              37   N   000004d0   00000313   000004d4   x28_t3     00000002
              38   N   000004d4   00000297   000004d8   x06_t1     00000000
              39   N   000004d8   00c28293   000004dc   x05_t0     000004d8
              40   N   000004dc   00228367   000004e0   x05_t0     000004e4
              41   N   000004e0   0000a011   000004e6   x06_t1     000004e4
              44   N   000004e6   0e80006f   000004ec   ---        --------
              47   N   000004ec   00000297   000004f0   x28_t3     00000003
              48   N   000004f0   00c28293   000004f4   x05_t0     000004f0
              49   N   000004f4   00128367   000004f8   x05_t0     000004fc
              50   N   000004f8   0080006f   000004fc   x06_t1     000004fc
              53   N   000004fc   0d00006f   00000504   ---        --------
              56   N   00000504   00000313   00000508   x28_t3     00000004
              57   N   00000508   00000297   0000050c   x06_t1     00000000
              58   N   0000050c   00c28293   00000510   x05_t0     0000050c
              59   N   00000510   00328367   00000514   x05_t0     00000518
              60   N   00000514   0000a011   0000051a   x06_t1     00000518
              63   N   0000051a   0b40006f   00000520   ---        --------
              66   N   00000520   00000313   00000524   x28_t3     00000005
              67   N   00000524   00000297   00000528   x06_t1     00000000
              68   N   00000528   00c28293   0000052c   x05_t0     00000528
              69   N   0000052c   0060036f   00000530   x05_t0     00000534
              70   N   00000530   0000a011   00000536   x06_t1     00000534
              73   N   00000536   0980006f   0000053c   ---        --------
              76   N   0000053c   00000313   00000540   x28_t3     00000006
              77   N   00000540   00000297   00000544   x06_t1     00000000
              78   N   00000544   00c28293   00000548   x05_t0     00000544
              79   N   00000548   00000363   0000054c   x05_t0     00000550
              80   N   0000054c   0000a011   00000552   ---        --------
              83   N   00000552   07c0006f   00000558   ---        --------
              86   N   00000558   00001563   0000055c   x28_t3     00000007
              87   N   0000055c   00c0006f   00000560   ---        --------
              88   N   00000560   0000a009   0000056c   ---        --------
              91   N   0000056c   301023f3   00000570   x28_t3     00000008
              92   N   00000570   0043f393   00000574   x07_t2     40001104
              93   N   00000574   04038863   00000578   x07_t2     00000004
              94   N   00000578   00000001   0000057c   ---        --------
              95   N   0000057c   30127073   0000057e   ---        --------
              96   N   0000057e   00000001   00000582   ---        --------
              97   N   00000582   301023f3   00000584   ---        --------
              98   N   00000584   0043f393   00000588   x07_t2     40001104
              99   N   00000588   04038263   0000058c   x07_t2     00000004
             100   N   0000058c   00000297   00000590   ---        --------
             101   N   00000590   03428293   00000594   x05_t0     00000590
             102   N   00000594   ffe28293   00000598   x05_t0     000005c4
             103   N   00000598   34129073   0000059c   x05_t0     000005c2
             104   N   0000059c   30127073   000005a0   ---        --------
             105   N   000005a0   301023f3   000005a4   ---        --------
             106   N   000005a4   0043f393   000005a8   x07_t2     40001104
             107   N   000005a8   00039e63   000005ac   x07_t2     00000004
             108   N   000005ac   000023b7   000005c8   ---        --------
             111   N   000005c8   01c01a63   000005e0   ---        --------
             114   N   000005e0   000e0593   000005e4   ---        --------
             115   N   000005e4   00000513   000005e8   x11_a1     00000008
             116   N   000005e8   00000073   000005ec   x10_a0     00000000
             117   E   000005ec   00200513   00000400   mstatus    00001800
             117   E   000005ec   00200513   00000400   mepc       000005ec
             117   E   000005ec   00200513   00000400   mcause     0000000b
             117   E   000005ec   00200513   00000400   mtval      00000000
             120   N   00000400   00000897   00000404   x16_a6     f0000000
             121   N   00000404   0bc88893   00000408   x17_a7     00000404
             122   N   00000408   00088783   0000040c   x17_a7     000004c0
             124   N   0000040c   0000c791   00000410   x15_a5     0000006d
